Value,Count,bps_alabama,evt_alabama,Value_1,Count_1,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,Aref,Bref,Cref,Dref,Eref,Agref,Urref,Unref,Ueref,Value_12,Count_12,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R_1,G_1,B_1,RED_1,GREEN_1,BLUE_1
1,6546.000000000000000,2094,7299,2094,304978.000000000000000,13070,48,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,2,9,89,I-B,222,205,149,0.870588000000000,0.803922000000000,0.584314000000000,6,16,27,34,17,0,0,0,0,7299,280226831.000000000000000,Developed-Roads,7299,2905,Bau Developed-Roads,Developed,Developed-Roads,25,Developed-Roads,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,1,1,1,0.003922000000000,0.003922000000000,0.003922000000000
2,353750.000000000000000,2092,7299,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7299,280226831.000000000000000,Developed-Roads,7299,2905,Bau Developed-Roads,Developed,Developed-Roads,25,Developed-Roads,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,1,1,1,0.003922000000000,0.003922000000000,0.003922000000000
3,2609.000000000000000,2112,7299,2112,59741.000000000000000,14570,48,14570_47_48,South-Central Interior/Upper Coastal Plain Wet Flatwoods,Hardwood,189,118,9,8,4,7,89,I-B,186,237,38,0.729412000000000,0.929412000000000,0.149020000000000,13,21,17,28,21,0,0,0,0,7299,280226831.000000000000000,Developed-Roads,7299,2905,Bau Developed-Roads,Developed,Developed-Roads,25,Developed-Roads,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,1,1,1,0.003922000000000,0.003922000000000,0.003922000000000
4,515608.000000000000000,2114,7299,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7299,280226831.000000000000000,Developed-Roads,7299,2905,Bau Developed-Roads,Developed,Developed-Roads,25,Developed-Roads,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,1,1,1,0.003922000000000,0.003922000000000,0.003922000000000
5,52663.000000000000000,2092,7905,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7905,18988776.000000000000000,Eastern Cool Temperate Urban Deciduous Forest,7905,2913,Dtd Urban Deciduous Forest,Tree,Developed,13,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216000000000,0.266667000000000,0.537255000000000
6,1146.000000000000000,2094,7905,2094,304978.000000000000000,13070,48,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,2,9,89,I-B,222,205,149,0.870588000000000,0.803922000000000,0.584314000000000,6,16,27,34,17,0,0,0,0,7905,18988776.000000000000000,Eastern Cool Temperate Urban Deciduous Forest,7905,2913,Dtd Urban Deciduous Forest,Tree,Developed,13,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216000000000,0.266667000000000,0.537255000000000
7,990343.000000000000000,2092,7977,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7977,313325689.000000000000000,Eastern Cool Temperate Pasture and Hayland,7977,2967,Dab Pasture and Hayland,Herb,Agricultural,67,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,227,212,28,0.890196000000000,0.831373000000000,0.109804000000000
8,28332.000000000000000,2094,7977,2094,304978.000000000000000,13070,48,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,2,9,89,I-B,222,205,149,0.870588000000000,0.803922000000000,0.584314000000000,6,16,27,34,17,0,0,0,0,7977,313325689.000000000000000,Eastern Cool Temperate Pasture and Hayland,7977,2967,Dab Pasture and Hayland,Herb,Agricultural,67,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,227,212,28,0.890196000000000,0.831373000000000,0.109804000000000
9,2010814.000000000000000,2114,7977,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7977,313325689.000000000000000,Eastern Cool Temperate Pasture and Hayland,7977,2967,Dab Pasture and Hayland,Herb,Agricultural,67,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,227,212,28,0.890196000000000,0.831373000000000,0.109804000000000
10,13498.000000000000000,2112,7977,2112,59741.000000000000000,14570,48,14570_47_48,South-Central Interior/Upper Coastal Plain Wet Flatwoods,Hardwood,189,118,9,8,4,7,89,I-B,186,237,38,0.729412000000000,0.929412000000000,0.149020000000000,13,21,17,28,21,0,0,0,0,7977,313325689.000000000000000,Eastern Cool Temperate Pasture and Hayland,7977,2967,Dab Pasture and Hayland,Herb,Agricultural,67,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,227,212,28,0.890196000000000,0.831373000000000,0.109804000000000
